Colour Name,First Usage,Colour Family,hex,URL,Part of Speech,0000D category
black,0,black,black,,adjective,The external world > matter > colour > named colors
blok,1200,black,black,,adjective,The external world > matter > colour > named colors
neger,1425,black,black,,adjective,The external world > matter > colour > named colors
sable,1470,black,black,,adjective,The external world > matter > colour > named colors
black-coloured,1528,black,black,,adjective,The external world > matter > colour > named colors
sable-coloured,1596,black,black,,adjective,The external world > matter > colour > named colors
ebon,1607,black,black,,adjective,The external world > matter > colour > named colors
Ethiop,1616,black,black,,adjective,The external world > matter > colour > named colors
torrid,1634,black,black,,adjective,The external world > matter > colour > named colors
atred,1654,black,black,,adjective,The external world > matter > colour > named colors
pullous,1698,black,black,,adjective,The external world > matter > colour > named colors
nigricant,1772,black,black,,adjective,The external world > matter > colour > named colors
nigrific,1804,black,black,,adjective,The external world > matter > colour > named colors
Negro,1816,black,black,,adjective,The external world > matter > colour > named colors
nigritudinous,1849,black,black,,adjective,The external world > matter > colour > named colors
nigrine,1885,black,black,,adjective,The external world > matter > colour > named colors
blackish,1450,blackish,black,,adjective,The external world > matter > colour > named colors
blacky,1594,blackish,black,,adjective,The external world > matter > colour > named colors
nigrescent,1725,blackish,black,,adjective,The external world > matter > colour > named colors
bigresceous,1887,blackish,black,,adjective,The external world > matter > colour > named colors
for-black,1405,very or completely black,black,,adjective,The external world > matter > colour > named colors
self-black,1558,very or completely black,black,,adjective,The external world > matter > colour > named colors
nigrous,1826,very or completely black,black,,adjective,The external world > matter > colour > named colors
all-black,1847,very or completely black,black,,adjective,The external world > matter > colour > named colors
jet-black,1477,black as jet,black,http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Sample_of_jet_2013.JPG/300px-Sample_of_jet_2013.JPG,adjective,The external world > matter > colour > named colors
jetty,1477,black as jet,black,http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Sample_of_jet_2013.JPG/300px-Sample_of_jet_2013.JPG,adjective,The external world > matter > colour > named colors
jetty-black,1477,black as jet,black,http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Sample_of_jet_2013.JPG/300px-Sample_of_jet_2013.JPG,adjective,The external world > matter > colour > named colors
jettish,1599,black as jet,black,http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Sample_of_jet_2013.JPG/300px-Sample_of_jet_2013.JPG,adjective,The external world > matter > colour > named colors
jet,1607,black as jet,black,http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Sample_of_jet_2013.JPG/300px-Sample_of_jet_2013.JPG,adjective,The external world > matter > colour > named colors
coal-black,1275,black as coal,black,http://energynewsbd.com/panel/newspicture/1465400395c.jpg,adjective,The external world > matter > colour > named colors
as black as coal,1400,black as coal,black,http://energynewsbd.com/panel/newspicture/1465400395c.jpg,adjective,The external world > matter > colour > named colors
coaly,1565,black as coal,black,http://energynewsbd.com/panel/newspicture/1465400395c.jpg,adjective,The external world > matter > colour > named colors
night-black,1591,black as night,black,http://www.qingdaonese.com/wp-content/uploads/2012/04/qingdaophotos_nightskyHuangdao.jpg,adjective,The external world > matter > colour > named colors
night-dark,1879,black as night,black,http://www.qingdaonese.com/wp-content/uploads/2012/04/qingdaophotos_nightskyHuangdao.jpg,adjective,The external world > matter > colour > named colors
ravenish,1500,black as raven,black,http://wpmedia.edmontonjournal.com/2016/02/edmonton-alberta-july-6-2015-a-raven-perchs-on-a-trash-c.jpeg?quality=55&strip=all&w=840&h=630&crop=1,adjective,The external world > matter > colour > named colors
raven-black,1582,black as raven,black,http://wpmedia.edmontonjournal.com/2016/02/edmonton-alberta-july-6-2015-a-raven-perchs-on-a-trash-c.jpeg?quality=55&strip=all&w=840&h=630&crop=1,adjective,The external world > matter > colour > named colors
raven-coloured,1594,black as raven,black,http://wpmedia.edmontonjournal.com/2016/02/edmonton-alberta-july-6-2015-a-raven-perchs-on-a-trash-c.jpeg?quality=55&strip=all&w=840&h=630&crop=1,adjective,The external world > matter > colour > named colors
raven,1637,black as raven,black,http://wpmedia.edmontonjournal.com/2016/02/edmonton-alberta-july-6-2015-a-raven-perchs-on-a-trash-c.jpeg?quality=55&strip=all&w=840&h=630&crop=1,adjective,The external world > matter > colour > named colors
inky,1593,black as ink,black,http://www.bluemaize.net/im/arts-crafts-sewing/black-ink-9.jpg,adjective,The external world > matter > colour > named colors
sepian,1631,black as ink,black,http://www.bluemaize.net/im/arts-crafts-sewing/black-ink-9.jpg,adjective,The external world > matter > colour > named colors
atramental,1646,black as ink,black,http://www.bluemaize.net/im/arts-crafts-sewing/black-ink-9.jpg,adjective,The external world > matter > colour > named colors
atramentous,1646,black as ink,black,http://www.bluemaize.net/im/arts-crafts-sewing/black-ink-9.jpg,adjective,The external world > matter > colour > named colors
chalcanthous,1646,black as ink,black,http://www.bluemaize.net/im/arts-crafts-sewing/black-ink-9.jpg,adjective,The external world > matter > colour > named colors
atramentitious,1650,black as ink,black,http://www.bluemaize.net/im/arts-crafts-sewing/black-ink-9.jpg,adjective,The external world > matter > colour > named colors
inkish,1670,black as ink,black,http://www.bluemaize.net/im/arts-crafts-sewing/black-ink-9.jpg,adjective,The external world > matter > colour > named colors
atramentaceous,1713,black as ink,black,http://www.bluemaize.net/im/arts-crafts-sewing/black-ink-9.jpg,adjective,The external world > matter > colour > named colors
atramentarious,1717,black as ink,black,http://www.bluemaize.net/im/arts-crafts-sewing/black-ink-9.jpg,adjective,The external world > matter > colour > named colors
black as pitch,1300,black as pitch,black,https://i.kinja-img.com/gawker-media/image/upload/t_original/685722504901980592.jpg,adjective,The external world > matter > colour > named colors
pitchy,1522,black as pitch,black,https://i.kinja-img.com/gawker-media/image/upload/t_original/685722504901980592.jpg,adjective,The external world > matter > colour > named colors
pitch black,1598,black as pitch,black,https://i.kinja-img.com/gawker-media/image/upload/t_original/685722504901980592.jpg,adjective,The external world > matter > colour > named colors
pitch-coloured,1601,black as pitch,black,https://i.kinja-img.com/gawker-media/image/upload/t_original/685722504901980592.jpg,adjective,The external world > matter > colour > named colors
pitchy black,1615,black as pitch,black,https://i.kinja-img.com/gawker-media/image/upload/t_original/685722504901980592.jpg,adjective,The external world > matter > colour > named colors
piceous,1726,black as pitch,black,https://i.kinja-img.com/gawker-media/image/upload/t_original/685722504901980592.jpg,adjective,The external world > matter > colour > named colors
picescent,1847,black as pitch,black,https://i.kinja-img.com/gawker-media/image/upload/t_original/685722504901980592.jpg,adjective,The external world > matter > colour > named colors
sooty,1593,black as soot,black,https://us.123rf.com/450wm/kzwwsko/kzwwsko1503/kzwwsko150302309/37644600-black-soot-on-the-metal.jpg?ver=6,adjective,The external world > matter > colour > named colors
fuliginated,1634,black as soot,black,https://us.123rf.com/450wm/kzwwsko/kzwwsko1503/kzwwsko150302309/37644600-black-soot-on-the-metal.jpg?ver=6,adjective,The external world > matter > colour > named colors
fuliginous,1657,black as soot,black,https://us.123rf.com/450wm/kzwwsko/kzwwsko1503/kzwwsko150302309/37644600-black-soot-on-the-metal.jpg?ver=6,adjective,The external world > matter > colour > named colors
pit-black,1871,black as soot,black,https://us.123rf.com/450wm/kzwwsko/kzwwsko1503/kzwwsko150302309/37644600-black-soot-on-the-metal.jpg?ver=6,adjective,The external world > matter > colour > named colors
Bible-black,1953,black as soot,black,https://us.123rf.com/450wm/kzwwsko/kzwwsko1503/kzwwsko150302309/37644600-black-soot-on-the-metal.jpg?ver=6,adjective,The external world > matter > colour > named colors
fusco-piceous,1847,reddish-black,black,,adjective,The external world > matter > colour > named colors
brownish-black,1685,brownish-black,darkbrown,,adjective,The external world > matter > colour > named colors
brown-black,1849,brownish-black,darkbrown,,adjective,The external world > matter > colour > named colors
pukish,1566,bluish-black,midnightblue,,adjective,The external world > matter > colour > named colors
blue-black,1626,bluish-black,midnightblue,,adjective,The external world > matter > colour > named colors
sloe-black,1735,bluish-black,midnightblue,,adjective,The external world > matter > colour > named colors
black-rimmed,1704,bluish-black,midnightblue,,adjective,The external world > matter > colour > named colors
blacked-edged,1706,bluish-black,midnightblue,,adjective,The external world > matter > colour > named colors
black-bordered,1774,bluish-black,midnightblue,,adjective,The external world > matter > colour > named colors
smutting,1631,blackening,black,,adjective,The external world > matter > colour > named colors
blackening,1684,blackening,black,,adjective,The external world > matter > colour > named colors
nigricanting,1715,blackening,black,,adjective,The external world > matter > colour > named colors
forswarted,1305,blackened,black,,adjective,The external world > matter > colour > named colors
bletchy,1520,blackened,black,,adjective,The external world > matter > colour > named colors
blackened,1522,blackened,black,,adjective,The external world > matter > colour > named colors
well-blacked,1592,blackened,black,,adjective,The external world > matter > colour > named colors
collied,1600,blackened,black,,adjective,The external world > matter > colour > named colors
blacked,1643,blackened,black,,adjective,The external world > matter > colour > named colors
lamp-blacked,1864,blackened,black,,adjective,The external world > matter > colour > named colors
corked,1836,blackened,black,,adjective,The external world > matter > colour > named colors
burnt-corked,1884,blackened,black,,adjective,The external world > matter > colour > named colors
sootied,1615,blackened,black,,adjective,The external world > matter > colour > named colors
fuliginous,1843,blackened,black,,adjective,The external world > matter > colour > named colors
fire-swart,0,blackened,black,,adjective,The external world > matter > colour > named colors
charred,1794,blackened,black,,adjective,The external world > matter > colour > named colors
blackleaded,1798,blackened,black,,adjective,The external world > matter > colour > named colors
plumbagoed,1860,blackened,black,,adjective,The external world > matter > colour > named colors
pitchy,1425,blackened,black,,adjective,The external world > matter > colour > named colors
unblacked,1836,blackened,black,,adjective,The external world > matter > colour > named colors
red,0,red ,red,,adjective,The external world > matter > colour > named colors
reod,0,red ,red,,adjective,The external world > matter > colour > named colors
ruddy,1398,red ,red,,adjective,The external world > matter > colour > named colors
reddy,1400,red ,red,,adjective,The external world > matter > colour > named colors
rouge,1425,red ,red,,adjective,The external world > matter > colour > named colors
redly,1486,red ,red,,adjective,The external world > matter > colour > named colors
gules,1503,red ,red,,adjective,The external world > matter > colour > named colors
red-coloured,1547,red ,red,,adjective,The external world > matter > colour > named colors
guly,1592,red ,red,,adjective,The external world > matter > colour > named colors
blushing,1597,red ,red,,adjective,The external world > matter > colour > named colors
rubric,1623,red ,red,,adjective,The external world > matter > colour > named colors
nacarine,1643,red ,red,,adjective,The external world > matter > colour > named colors
minious,1646,red ,red,,adjective,The external world > matter > colour > named colors
rubriform,1704,red ,red,,adjective,The external world > matter > colour > named colors
carbuncly,1726,red ,red,,adjective,The external world > matter > colour > named colors
blushful,1804,red ,red,,adjective,The external world > matter > colour > named colors
envermeiled,1822,red ,red,,adjective,The external world > matter > colour > named colors
ablush,1852,red ,red,,adjective,The external world > matter > colour > named colors
flammulated,1872,red ,red,,adjective,The external world > matter > colour > named colors
rubrical,1641,red ,red,,adjective,The external world > matter > colour > named colors
redward,1880,reddish,red,,adjective,The external world > matter > colour > named colors
reddish,1398,reddish,red,,adjective,The external world > matter > colour > named colors
rubicund,1425,reddish,red,,adjective,The external world > matter > colour > named colors
ruddish,1563,reddish,red,,adjective,The external world > matter > colour > named colors
ruddyish,1651,reddish,red,,adjective,The external world > matter > colour > named colors
rutilous,1654,reddish,red,,adjective,The external world > matter > colour > named colors
flushy,1706,reddish,red,,adjective,The external world > matter > colour > named colors
rubescent,1731,reddish,red,,adjective,The external world > matter > colour > named colors
rufescent,1802,reddish,red,,adjective,The external world > matter > colour > named colors
rufulous,1883,reddish,red,,adjective,The external world > matter > colour > named colors
ruddy,1440,reddish,red,,adjective,The external world > matter > colour > named colors
rufous,1782,reddish,red,,adjective,The external world > matter > colour > named colors
reddy,1845,reddish,red,,adjective,The external world > matter > colour > named colors
inred,1225,very red,red,,adjective,The external world > matter > colour > named colors
foxy,1783,excessively red,red,,adjective,The external world > matter > colour > named colors
angered,1300,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
scarlet,1386,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
puniceous,1398,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
vermeil,1400,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
coral,1522,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
Punic,1553,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
orient,1578,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
vermilion,1589,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
wax-red,1593,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
cherry-red,1594,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
Punical,1606,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
coralline,1608,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
scarleted,1641,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
coccineous,1654,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
cinnabrian,1668,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
poppy-coloured,1677,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
miniaceous,1688,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
phoeniceous,1688,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
cherry-coloured,1695,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
coral-red,1700,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
cherried,1762,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
punicean,1786,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
cinnabar,1807,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
geraniumed,1819,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
miniatous,1826,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
vermilion-coloured,1836,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
geranium-coloured,1836,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
pink,1846,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
lobster-red,1846,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
phoenicean,1857,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
magenta,1877,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
cardinal,1879,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
scarlet-vermilion,1882,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
canellia-red,1890,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
miniate,1891,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
nasturtium-red,1896,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
sealing-wax red,1907,bright red or scarlet,red,,adjective,The external world > matter > colour > named colors
blood-red,0,deep red or crimson,crimson,,adjective,The external world > matter > colour > named colors
bloody,0,deep red or crimson,crimson,,adjective,The external world > matter > colour > named colors
purpurine,1300,deep red or crimson,crimson,,adjective,The external world > matter > colour > named colors
sanguine,1382,deep red or crimson,crimson,,adjective,The external world > matter > colour > named colors
tuly,1398,deep red or crimson,crimson,,adjective,The external world > matter > colour > named colors
murrey,1400,deep red or crimson,crimson,,adjective,The external world > matter > colour > named colors
purpure,1400,deep red or crimson,crimson,,adjective,The external world > matter > colour > named colors
crimson,1416,deep red or crimson,crimson,,adjective,The external world > matter > colour > named colors
sanguinolent,1450,deep red or crimson,crimson,,adjective,The external world > matter > colour > named colors
cramoisy,1480,deep red or crimson,crimson,,adjective,The external world > matter > colour > named colors
ruby-red,1487,deep red or crimson,crimson,,adjective,The external world > matter > colour > named colors
ruby,1500,deep red or crimson,crimson,,adjective,The external world > matter > colour > named colors
sanguineous,1520,deep red or crimson,crimson,,adjective,The external world > matter > colour > named colors
sanguine-coloured,1552,deep red or crimson,crimson,,adjective,The external world > matter > colour > named colors
blood-coloured,1567,deep red or crimson,crimson,,adjective,The external world > matter > colour > named colors
purple-red,1578,deep red or crimson,crimson,,adjective,The external world > matter > colour > named colors
rubied,1594,deep red or crimson,crimson,,adjective,The external world > matter > colour > named colors
incarnadine,1605,deep red or crimson,crimson,,adjective,The external world > matter > colour > named colors
Tyrian,1614,deep red or crimson,crimson,,adjective,The external world > matter > colour > named colors
rubious,1616,deep red or crimson,crimson,,adjective,The external world > matter > colour > named colors
murrey-coloured,1657,deep red or crimson,crimson,,adjective,The external world > matter > colour > named colors
haematine,1658,deep red or crimson,crimson,,adjective,The external world > matter > colour > named colors
vinaceous,1688,deep red or crimson,crimson,,adjective,The external world > matter > colour > named colors
